,uri,name,description,publisher,publication_date,last_updated_date,exact_match,close_match,broad_match,narrow_match,from_shared_resource_instance,status
0,field:id/variable/method.shelter_measurement,shelterMeasurement,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:28.546638+02:00,,[],[],[],[],,already_existed
1,field:id/variable/method.shelter_measurement,shelterMeasurement,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:28.546638+02:00,,[],[],[],[],,already_existed
2,http://aims.fao.org/aos/agrovoc/c_4668,Measurement,,,,,[],[],[],[],,already_existed
3,http://phenome.inrae.fr/id/variable/method.computation,Computation,,,,,[],[],[],[],,already_existed
4,http://aims.fao.org/aos/agrovoc/c_4668,Measurement,,,,,[],[],[],[],,already_existed
5,field:id/variable/method.measurement10-20cm,measurement10-20cm,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:29.006381+02:00,,[],[],[],[],,already_existed
6,field:id/variable/method.measurement100-110cm,measurement100-110cm,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:29.210286+02:00,,[],[],[],[],,already_existed
7,field:id/variable/method.measurement20-30cm,measurement20-30cm,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:29.399544+02:00,,[],[],[],[],,already_existed
8,field:id/variable/method.measurement30-40cm,measurement30-40cm,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:29.612227+02:00,,[],[],[],[],,already_existed
9,field:id/variable/method.measurement40-50cm,measurement40-50cm,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:29.837713+02:00,,[],[],[],[],,already_existed
10,field:id/variable/method.measurement50-60cm,measurement50-60cm,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:30.037412+02:00,,[],[],[],[],,already_existed
11,field:id/variable/method.measurement60-70cm,measurement60-70cm,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:30.228975+02:00,,[],[],[],[],,already_existed
12,field:id/variable/method.measurement70-80cm,measurement70-80cm,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:30.410935+02:00,,[],[],[],[],,already_existed
