,uri,name,alternative_name,description,entity,entity_of_interest,characteristic,trait,trait_name,method,unit,species,time_interval,sampling_interval,datatype,exact_match,close_match,broad_match,narrow_match,publisher,publication_date,last_updated_date,from_shared_resource_instance,status
0,field:id/variable/air_humidityrelative_sheltermeasurement_percent,air_humidityRelative_shelterMeasurement_percent,,,"{'uri': 'http://purl.obolibrary.org/obo/ENVO_00002005', 'name': 'air'}",,"{'uri': 'https://emphasis.plant-phenotyping.eu/id/variable/characteristic.relativehumidity', 'name': 'humidityRelative'}",,,"{'uri': 'field:id/variable/method.shelter_measurement', 'name': 'shelter Measurement'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/percent', 'name': 'percent', 'description': 'The percent is a unit of dimension one defined as 1/100.', 'symbol': '%', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:17.808865+02:00,,,Variable created
1,field:id/variable/air_temperatureinstant_sheltermeasurement_degree_celsius,air_temperatureInstant_shelterMeasurement_degree celsius,,,"{'uri': 'http://purl.obolibrary.org/obo/ENVO_00002005', 'name': 'air'}",,"{'uri': 'http://purl.obolibrary.org/obo/PATO_0000146', 'name': 'Temperature'}",,,"{'uri': 'field:id/variable/method.shelter_measurement', 'name': 'shelter Measurement'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/degreeCelsius', 'name': 'degree Celsius', 'description': 'The degree Celsius is a unit of temperature defined as 1 kelvin.', 'symbol': '°C', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:18.108577+02:00,,,Variable created
2,field:id/variable/apex_temperatureinstant_measurement_degree_celsius,apex_temperatureInstant_measurement_degree celsius,,,"{'uri': 'opensilex-sandbox:id/variable/entity.apex', 'name': 'apex'}",,"{'uri': 'http://purl.obolibrary.org/obo/PATO_0000146', 'name': 'Temperature'}",,,"{'uri': 'field:id/variable/method.measurement', 'name': 'Measurement'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/degreeCelsius', 'name': 'degree Celsius', 'description': 'The degree Celsius is a unit of temperature defined as 1 kelvin.', 'symbol': '°C', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:18.441129+02:00,,,Variable created
3,field:id/variable/atmospheric_rainfallcumulation_computation_millimetre,atmospheric_rainfallCumulation_computation_millimetre,,,"{'uri': 'http://purl.obolibrary.org/obo/ENVO_01000267', 'name': 'atmospheric'}",,"{'uri': 'field:id/variable/characteristic.rainfall_cumulation', 'name': 'rainfall Cumulation'}",,,"{'uri': 'http://phenome.inrae.fr/id/variable/method.computation', 'name': 'computation'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre', 'name': 'millimetre', 'description': 'The millimetre is a unit of length defined as 1.0e-3 metre.', 'symbol': 'mm', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:18.752662+02:00,,,Variable created
4,field:id/variable/powersupply_voltage_measurement_volt,powerSupply_voltage_measurement_volt,,,"{'uri': 'http://purl.obolibrary.org/obo/ENVO_00002005', 'name': 'air'}",,"{'uri': 'field:id/variable/characteristic.voltage', 'name': 'Voltage'}",,,"{'uri': 'field:id/variable/method.measurement', 'name': 'Measurement'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/volt', 'name': 'volt', 'description': 'The volt is a unit of electric potential defined as watt divided by ampere = joule divided by coulomb = newton times metre divided by ampere times second = kilogram times square metre divided by ampere times second to the power 3.', 'symbol': 'V', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:19.061866+02:00,,,Variable created
5,field:id/variable/soil_watercontent_measurement10-20cm_millimetre,soil_waterContent_measurement10-20cm_millimetre,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content', 'name': 'waterContent'}",,,"{'uri': 'field:id/variable/method.measurement10-20cm', 'name': 'measurement10-20cm'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre', 'name': 'millimetre', 'description': 'The millimetre is a unit of length defined as 1.0e-3 metre.', 'symbol': 'mm', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:19.376482+02:00,,,Variable created
6,field:id/variable/soil_watercontent_measurement100-110cm_millimetre,soil_waterContent_measurement100-110cm_millimetre,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content', 'name': 'waterContent'}",,,"{'uri': 'field:id/variable/method.measurement100-110cm', 'name': 'measurement100-110cm'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre', 'name': 'millimetre', 'description': 'The millimetre is a unit of length defined as 1.0e-3 metre.', 'symbol': 'mm', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:19.696712+02:00,,,Variable created
7,field:id/variable/soil_watercontent_measurement20-30cm_millimetre,soil_waterContent_measurement20-30cm_millimetre,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content', 'name': 'waterContent'}",,,"{'uri': 'field:id/variable/method.measurement20-30cm', 'name': 'measurement20-30cm'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre', 'name': 'millimetre', 'description': 'The millimetre is a unit of length defined as 1.0e-3 metre.', 'symbol': 'mm', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:19.991611+02:00,,,Variable created
8,field:id/variable/soil_watercontent_measurement30-40cm_millimetre,soil_waterContent_measurement30-40cm_millimetre,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content', 'name': 'waterContent'}",,,"{'uri': 'field:id/variable/method.measurement30-40cm', 'name': 'measurement30-40cm'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre', 'name': 'millimetre', 'description': 'The millimetre is a unit of length defined as 1.0e-3 metre.', 'symbol': 'mm', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:20.266332+02:00,,,Variable created
9,field:id/variable/soil_watercontent_measurement40-50cm_millimetre,soil_waterContent_measurement40-50cm_millimetre,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content', 'name': 'waterContent'}",,,"{'uri': 'field:id/variable/method.measurement40-50cm', 'name': 'measurement40-50cm'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre', 'name': 'millimetre', 'description': 'The millimetre is a unit of length defined as 1.0e-3 metre.', 'symbol': 'mm', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:20.630106+02:00,,,Variable created
