variable_uri,variable_name,variable_alternative_name,variable_description,dataType,species,timeInterval,samplingInterval,exact_match,close_match,broad_match,narrow_match,entityOfInterestName,entityOfInterestURI,entityURI,entityName,characteristicURI,characteristicName,methodURI,methodName,unitURI,unitName,groupUri,groupName
None,Air_AtmosphericPressure_hPa_Shelter2mOverDay,None,Mean atmospheric pressure in a ventilated shelter over a day,http://www.w3.org/2001/XMLSchema#decimal,None,None,None,None,None,None,None,None,None,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,Air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.atmosphericpressure,AtmosphericPressure,https://emphasis.plant-phenotyping.eu/id/variable/method.shelter2moverday,Shelter2mOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.hpa,hPa,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
None,PAR_Irradiance_JoulePERSquarecmPERday_SensorOverDay,None,Irradiance in the PAR domain cumulated over a day,http://www.w3.org/2001/XMLSchema#decimal,None,None,None,None,None,None,None,None,None,https://emphasis.plant-phenotyping.eu/id/variable/entity.par,PAR,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.irradiance,Irradiance,https://emphasis.plant-phenotyping.eu/id/variable/method.sensoroverday,SensorOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.joulepersquarecmperday,JoulePERSquarecmPERday,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
None,PAR_PPFD_SensorOverDay_molPERsquaremeterPERday,None,Incident radiation cumulated over 24h from sensors close to the field,http://www.w3.org/2001/XMLSchema#decimal,None,None,None,None,None,None,None,None,None,https://emphasis.plant-phenotyping.eu/id/variable/entity.par,PAR,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.ppfd,PPFD,https://emphasis.plant-phenotyping.eu/id/variable/method.sensoroverday,SensorOverDay,http://qudt.org/vocab/unit/MOL-PER-M2-DAY,molPERsquaremeterPERday,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
None,Canopy_Rainfall_SensorOverDay_mm,None,Cumulated rainfall over 24h from sensor close to the field,http://www.w3.org/2001/XMLSchema#decimal,None,None,None,None,None,None,None,None,None,https://emphasis.plant-phenotyping.eu/id/variable/entity.canopy,Canopy,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.rainfall,Rainfall,https://emphasis.plant-phenotyping.eu/id/variable/method.sensoroverday,SensorOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.mm,mm,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
None,Canopy_Rainfall_MinSensorOverDay_mm,None,Minimum rainfall intensity over the day,http://www.w3.org/2001/XMLSchema#decimal,None,None,None,None,None,None,None,None,None,https://emphasis.plant-phenotyping.eu/id/variable/entity.canopy,Canopy,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.rainfall,Rainfall,https://emphasis.plant-phenotyping.eu/id/variable/method.minsensoroverday,MinSensorOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.mm,mm,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
None,Canopy_Rainfall_MaxSensorOverDay_mm,None,Maximum rainfall intensity over the day,http://www.w3.org/2001/XMLSchema#decimal,None,None,None,None,None,None,None,None,None,https://emphasis.plant-phenotyping.eu/id/variable/entity.canopy,Canopy,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.rainfall,Rainfall,https://emphasis.plant-phenotyping.eu/id/variable/method.maxsensoroverday,MaxSensorOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.mm,mm,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
None,Air_ReferenceEvapotranspiration_ModelOverDay_mm,None,"Model Calculation from Penman Monteith equation based on RH, T, light and wind sensors ",http://www.w3.org/2001/XMLSchema#decimal,None,None,None,None,None,None,None,None,None,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,Air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.reference_evapotranspiration,ReferenceEvapotranspiration,https://emphasis.plant-phenotyping.eu/id/variable/method.modeloverday,ModelOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.mm,mm,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
None,Air_RelativeHumidity_Shelter2mOverDay_Percent,None,Mean RH for 24 h  from a sensor in a ventilated shelter at 2 m height ,http://www.w3.org/2001/XMLSchema#decimal,None,None,None,None,None,None,None,None,None,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,Air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.relativehumidity,RelativeHumidity,https://emphasis.plant-phenotyping.eu/id/variable/method.shelter2moverday,Shelter2mOverDay,http://www.ontology-of-units-of-measure.org/resource/om-2/percent,Percent,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
None,Air_RelativeHumidity_MinShelter2mOverDay_Percent,None,Minimum RH for 24 h  from a sensor in a ventilated shelter at 2 m height ,http://www.w3.org/2001/XMLSchema#decimal,None,None,None,None,None,None,None,None,None,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,Air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.relativehumidity,RelativeHumidity,https://emphasis.plant-phenotyping.eu/id/variable/method.minshelter2moverday,MinShelter2mOverDay,http://www.ontology-of-units-of-measure.org/resource/om-2/percent,Percent,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
None,Air_RelativeHumidity_MaxShelter2mOverDay_Percent,None,Maximum RH for 24 h  from a sensor in a ventilated shelter at 2 m height,http://www.w3.org/2001/XMLSchema#decimal,None,None,None,None,None,None,None,None,None,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,Air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.relativehumidity,RelativeHumidity,https://emphasis.plant-phenotyping.eu/id/variable/method.maxshelter2moverday,MaxShelter2mOverDay,http://www.ontology-of-units-of-measure.org/resource/om-2/percent,Percent,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
