variable_uri,variable_name,variable_alternative_name,variable_description,dataType,species,timeInterval,samplingInterval,exact_match,close_match,broad_match,narrow_match,entityOfInterestName,entityOfInterestURI,entityURI,entityName,characteristicURI,characteristicName,methodURI,methodName,unitURI,unitName,groupUri,groupName
,Air_AtmosphericPressure_hPa_Shelter2mOverDay,,Mean atmospheric pressure in a ventilated shelter over a day,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,Air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.atmosphericpressure,AtmosphericPressure,https://emphasis.plant-phenotyping.eu/id/variable/method.shelter2moverday,Shelter2mOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.hpa,hPa,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,PAR_Irradiance_JoulePERSquarecmPERday_SensorOverDay,,Irradiance in the PAR domain cumulated over a day,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.par,PAR,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.irradiance,Irradiance,https://emphasis.plant-phenotyping.eu/id/variable/method.sensoroverday,SensorOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.joulepersquarecmperday,JoulePERSquarecmPERday,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,PAR_PPFD_SensorOverDay_molPERsquaremeterPERday,,Incident radiation cumulated over 24h from sensors close to the field,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.par,PAR,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.ppfd,PPFD,https://emphasis.plant-phenotyping.eu/id/variable/method.sensoroverday,SensorOverDay,http://qudt.org/vocab/unit/MOL-PER-M2-DAY,molPERsquaremeterPERday,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Canopy_Rainfall_SensorOverDay_mm,,Cumulated rainfall over 24h from sensor close to the field,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.canopy,Canopy,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.rainfall,Rainfall,https://emphasis.plant-phenotyping.eu/id/variable/method.sensoroverday,SensorOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.mm,mm,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Canopy_Rainfall_MinSensorOverDay_mm,,Minimum rainfall intensity over the day,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.canopy,Canopy,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.rainfall,Rainfall,https://emphasis.plant-phenotyping.eu/id/variable/method.minsensoroverday,MinSensorOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.mm,mm,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Canopy_Rainfall_MaxSensorOverDay_mm,,Maximum rainfall intensity over the day,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.canopy,Canopy,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.rainfall,Rainfall,https://emphasis.plant-phenotyping.eu/id/variable/method.maxsensoroverday,MaxSensorOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.mm,mm,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_ReferenceEvapotranspiration_ModelOverDay_mm,,"Model Calculation from Penman Monteith equation based on RH, T, light and wind sensors ",http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,Air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.reference_evapotranspiration,ReferenceEvapotranspiration,https://emphasis.plant-phenotyping.eu/id/variable/method.modeloverday,ModelOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.mm,mm,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_RelativeHumidity_Shelter2mOverDay_Percent,,Mean RH for 24 h  from a sensor in a ventilated shelter at 2 m height ,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,Air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.relativehumidity,RelativeHumidity,https://emphasis.plant-phenotyping.eu/id/variable/method.shelter2moverday,Shelter2mOverDay,http://www.ontology-of-units-of-measure.org/resource/om-2/percent,Percent,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_RelativeHumidity_MinShelter2mOverDay_Percent,,Minimum RH for 24 h  from a sensor in a ventilated shelter at 2 m height ,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,Air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.relativehumidity,RelativeHumidity,https://emphasis.plant-phenotyping.eu/id/variable/method.minshelter2moverday,MinShelter2mOverDay,http://www.ontology-of-units-of-measure.org/resource/om-2/percent,Percent,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_RelativeHumidity_MaxShelter2mOverDay_Percent,,Maximum RH for 24 h  from a sensor in a ventilated shelter at 2 m height,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,Air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.relativehumidity,RelativeHumidity,https://emphasis.plant-phenotyping.eu/id/variable/method.maxshelter2moverday,MaxShelter2mOverDay,http://www.ontology-of-units-of-measure.org/resource/om-2/percent,Percent,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_Temperature_MaxShelter2mOverDay_DegC,,Maximum temperature recorded in the day from a sensor in a ventilated shelter at 2 m height,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,Air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.temperature,Temperature,https://emphasis.plant-phenotyping.eu/id/variable/method.maxshelter2moverday,MaxShelter2mOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.degc,DegC,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_Temperature_Shelter2mOverDay_DegC,,Air temperature averaged for 24h from  a sensor in a ventilated shelter at 2 m hight,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.temperature,Temperature,https://emphasis.plant-phenotyping.eu/id/variable/method.shelter2moverday,Shelter2mOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.degc,DegC,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_Temperature_MinShelter2mOverDay_DegC,,Minimum temperature recorded in the day from a sensor in a ventilated shelter at 2 m height,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.temperature,Temperature,https://emphasis.plant-phenotyping.eu/id/variable/method.minshelter2moverday,MinShelter2mOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.degc,DegC,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,AirWithinCanopy_Temperature_MinSensorOverDay_DegC,,Minimum temperature recorded in the day from a sensor placed at mid canopy height,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.airwithincanopy,airwithcanopy,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.temperature,Temperature,https://emphasis.plant-phenotyping.eu/id/variable/method.minshelter2moverday,MinSensorOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.degc,DegC,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_Temperature_CoolestHoursShelter2m_DegC,,Mean temperature during the coolest consecutive two h of the day  from a sensor in a ventilated shelter at 2 m height,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.temperature,Temperature,https://emphasis.plant-phenotyping.eu/id/variable/method.coolesthoursshelter2m,CoolestHoursShelter2m,https://emphasis.plant-phenotyping.eu/id/variable/unit.degc,DegC,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_Temperature_WarmestHoursShelter2m_DegC,,Mean temperature during the warmest consecutive three h of the day  from a sensor in a ventilated shelter at 2 m height,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.temperature,Temperature,https://emphasis.plant-phenotyping.eu/id/variable/method.warmesthoursshelter2m,WarmestHoursShelter2m,https://emphasis.plant-phenotyping.eu/id/variable/unit.degc,DegC,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,soil_Temperature_Sensor60cmOverDay_DegC,,Mean temperature over 24 h from sensors at 30cm depth,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.soil,soil,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.temperature,Temperature,https://emphasis.plant-phenotyping.eu/id/variable/method.sensor60cmoverday,Sensor60cmOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.degc,DegC,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,soil_Temperature_MinSensor10cmOverDay_DegC,,Minimum temperature over 24 h from sensors at 10cm depth,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.soil,soil,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.temperature,Temperature,https://emphasis.plant-phenotyping.eu/id/variable/method.minsensor10cmoverday,MinSensor10cmOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.degc,DegC,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,soil_Temperature_MaxSensor10cmOverDay_DegC,,Maximum temperature over 24 h from sensors at 10cm depth,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.soil,soil,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.temperature,Temperature,https://emphasis.plant-phenotyping.eu/id/variable/method.maxsensor10cmoverday,MaxSensor10cmOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.degc,DegC,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_VPD_Shelter2mOverDay_KPa,,Mean air VPD over 24h from RH and T sensors in a ventilated shelter at 2 m height,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.vpd,VPD,https://emphasis.plant-phenotyping.eu/id/variable/method.shelter2moverday,Shelter2mOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.kpa,kPa,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_VPD_WarmestHoursShelter2m_Kpa,,Mean VPD during the driest consecutive three h of the day from RH and T sensors in a ventilated shelter at 2 m height,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.vpd,VPD,https://emphasis.plant-phenotyping.eu/id/variable/method.warmesthoursshelter2m,WarmestHoursShelter2m,https://emphasis.plant-phenotyping.eu/id/variable/unit.kpa,kPa,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Soil_WaterPotential_Sensor30cmOverDay_Kpa,,Mean soil water potential over 24 h from sensor at 30cm depth ,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.soil,soil,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.waterpotential,WaterPotential,https://emphasis.plant-phenotyping.eu/id/variable/method.warmesthoursshelter2m,Sensor30cmOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.kpa,kPa,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Soil_WaterPotential_Sensor60cmOverDay__Kpa,,Mean soil water potential over 24 h from sensors at 60cm depth,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.soil,soil,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.waterpotential,WaterPotential,https://emphasis.plant-phenotyping.eu/id/variable/method.sensor60cmoverday,Sensor60cmOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.kpa,kPa,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Soil_WaterPotential_Sensor30And60cmOverDay_Kpa,,Mean of soil water potentials at 30 and 60 cm depths,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.soil,soil,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.waterpotential,WaterPotential,https://emphasis.plant-phenotyping.eu/id/variable/method.sensor30and60cmoverday,Sensor30And60cmOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.kpa,kPa,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Leaf_Wetness_duration_SensorOverDay_min,,Duration in minutes of the time with wet leaf,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.leaf,leaf,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.wetness_duration,Wetness duration,https://emphasis.plant-phenotyping.eu/id/variable/method.sensoroverday,SensorOverDay,http://www.ontology-of-units-of-measure.org/resource/om-2/minute-Angle,min,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_Windspeed_Sensor2mOverDay_mPERs,,Mean windspeed for 24 h  from a sensor at 2 m height,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.windspeed,Windspeed,https://emphasis.plant-phenotyping.eu/id/variable/method.sensor2moverday,Sensor2mOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.mpers,mPERs,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
,Air_Windspeed_MaxSensor2mOverDay_mPERs,,Maximum windspeed for 24 h  from a sensor at 2 m height,http://www.w3.org/2001/XMLSchema#decimal,,,,,,,,,,https://emphasis.plant-phenotyping.eu/id/variable/entity.air,air,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.windspeed,Windspeed,https://emphasis.plant-phenotyping.eu/id/variable/method.maxsensor2moverday,MaxSensor2mOverDay,https://emphasis.plant-phenotyping.eu/id/variable/unit.mpers,mPERs,opensilex-sandbox:id/variablesGroup/variables_environnementales_m3p,Variables Environnementales M3P
